companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Cal-Maine Foods, Inc. Common Stock",CALM,1/28/2026,2/12/2026,1/28/2026,0.719,9.416,11/27/2007
"Entegris, Inc. Common Stock",ENTG,1/28/2026,2/18/2026,1/28/2026,0.1,0.4,1/24/2026
Heritage Financial Corporation Common Stock,HFWA,1/28/2026,2/11/2026,1/28/2026,0.24,0.96,1/16/2026
Northern Technologies International Corporation Common Stock,NTIC,1/28/2026,2/11/2026,1/28/2026,0.01,0.04,1/14/2026
"Paychex, Inc. Common Stock",PAYX,1/28/2026,2/27/2026,1/28/2026,1.08,4.32,1/16/2026
Prospect Capital Corporation Common Stock,PSEC,1/28/2026,2/18/2026,1/28/2026,0.045,0.54,11/04/2025
