companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Kearny Financial Corp Common Stock,KRNY,2/04/2026,2/18/2026,2/04/2026,0.11,0.44,1/21/2026
"MetroCity Bankshares, Inc. Common Stock",MCBS,2/04/2026,2/13/2026,2/04/2026,0.25,1.0,1/21/2026
"Peoples Bancorp of North Carolina, Inc. Common Stock",PEBK,2/04/2026,2/13/2026,2/04/2026,0.17,0.8,1/22/2026
Plumas Bancorp,PLBC,2/04/2026,2/18/2026,2/04/2026,0.33,1.2,1/21/2026
"Princeton Bancorp, Inc. Common Stock (PA)",BPRN,2/04/2026,2/27/2026,2/04/2026,0.35,1.4,1/21/2026
