companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Fastenal Company Common Stock,FAST,1/29/2026,2/26/2026,1/29/2026,0.24,0.88,1/16/2026
JE Cleantech Holdings Limited Ordinary Shares,JCSE,1/29/2026,1/28/2026,1/21/2026,0.44,0.0,1/02/2026
