companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Bank of Marin Bancorp Common Stock,BMRC,2/05/2026,2/12/2026,2/05/2026,0.25,1.0,1/22/2026
"Franklin Electric Co., Inc. Common Stock",FELE,2/05/2026,2/19/2026,2/05/2026,0.28,1.06,1/28/2026
Heritage Commerce Corp Common Stock,HTBK,2/05/2026,2/19/2026,2/05/2026,0.13,0.52,1/22/2026
"NB Bancorp, Inc. Common Stock",NBBK,2/05/2026,2/19/2026,2/05/2026,0.07,0.28,1/22/2026
"Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series A Preferred Stock",ONBPP,2/05/2026,2/20/2026,2/05/2026,0.4375,1.75,11/12/2025
"Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series C Preferred Stock",ONBPO,2/05/2026,2/20/2026,2/05/2026,0.4375,1.75,11/12/2025
OP Bancorp Common Stock,OPBK,2/05/2026,2/19/2026,2/05/2026,0.12,0.48,1/22/2026
Wintrust Financial Corporation Common Stock,WTFC,2/05/2026,2/19/2026,2/05/2026,0.55,2.0,1/22/2026
