companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
1st Source Corporation Common Stock,SRCE,2/03/2026,2/13/2026,2/03/2026,0.4,1.6,1/22/2026
Amalgamated Financial Corp. Common Stock (DE),AMAL,2/03/2026,2/19/2026,2/03/2026,0.17,0.56,1/20/2026
"Apogee Enterprises, Inc. Common Stock",APOG,2/03/2026,2/18/2026,2/03/2026,0.27,1.04,1/14/2026
ArrowMark Financial Corp. Common Stock,BANX,2/03/2026,2/27/2026,2/03/2026,0.15,1.8,1/23/2026
Banner Corporation Common Stock,BANR,2/03/2026,2/13/2026,2/03/2026,0.5,2.0,1/28/2026
Capital Clean Energy Carriers Corp. Common Share,CCEC,2/03/2026,2/12/2026,2/03/2026,0.15,0.6,1/22/2026
"Donegal Group, Inc. Class A Common Stock",DGICA,2/03/2026,2/17/2026,2/03/2026,0.1825,0.73,12/18/2025
"Donegal Group, Inc. Class B Common Stock",DGICB,2/03/2026,2/17/2026,2/03/2026,0.165,0.66,12/18/2025
Independent Bank Corporation Common Stock,IBCP,2/03/2026,2/13/2026,2/03/2026,0.28,1.04,1/28/2026
