companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
AmeriServ Financial Inc. Common Stock,ASRV,2/02/2026,2/17/2026,2/02/2026,0.03,0.12,1/15/2026
Bank OZK 4.625% Series A Non-Cumulative Perpetual Preferred Stock,OZKAP,2/02/2026,2/17/2026,2/02/2026,0.28906,1.15624,1/02/2026
"Dorchester Minerals, L.P. Common Units Representing Limited Partnership Interests",DMLP,2/02/2026,2/12/2026,2/02/2026,0.755712,2.759532,1/22/2026
"Eagle Bancorp, Inc. Common Stock",EGBN,2/02/2026,2/13/2026,2/02/2026,0.01,0.04,1/21/2026
Eagle Financial Services Inc Common Stock,EFSI,2/02/2026,2/13/2026,2/02/2026,0.31,1.24,1/21/2026
"East West Bancorp, Inc. Common Stock",EWBC,2/02/2026,2/17/2026,2/02/2026,0.8,2.4,1/22/2026
Five Star Bancorp Common Stock,FSBC,2/02/2026,2/09/2026,2/02/2026,0.25,0.8,1/15/2026
Grupo Financiero Galicia S.A. American Depositary Shares,GGAL,2/02/2026,2/09/2026,2/02/2026,0.145521,0.0,1/21/2026
"Home Federal Bancorp, Inc. of Louisiana Common Stock",HFBL,2/02/2026,2/16/2026,2/02/2026,0.135,0.54,1/21/2026
"Lake Shore Bancorp, Inc. Common Stock",LSBK,2/02/2026,2/11/2026,2/02/2026,0.09,0.0,1/21/2026
LSI Industries Inc. Common Stock,LYTS,2/02/2026,2/10/2026,2/02/2026,0.05,0.2,1/22/2026
NVE Corporation Common Stock,NVEC,2/02/2026,2/27/2026,2/02/2026,1.0,4.0,1/21/2026
Oak Valley Bancorp (CA) Common Stock,OVLY,2/02/2026,2/13/2026,2/02/2026,0.375,0.6,1/20/2026
OceanFirst Financial Corp. Common Stock,OCFC,2/02/2026,2/13/2026,2/02/2026,0.2,0.8,1/21/2026
Peoples Bancorp Inc. Common Stock,PEBO,2/02/2026,2/17/2026,2/02/2026,0.41,1.64,1/19/2026
"South Plains Financial, Inc. Common Stock",SPFI,2/02/2026,2/17/2026,2/02/2026,0.17,0.64,1/27/2026
Westamerica Bancorporation Common Stock,WABC,2/02/2026,2/13/2026,2/02/2026,0.46,1.84,1/22/2026
